# City coordinates for WeatherIQ (GeoNames cities1000, India)
# Format: city,latitude,longitude
# Source: https://download.geonames.org/export/dump/cities1000.zip (CC BY 4.0)
city,latitude,longitude
4 Arm (Kharwali),28.748700,73.067030
7LC,29.403030,73.602560
Aamadi,20.770970,81.489910
Aar,24.507740,73.576870
Abbaspur,33.817400,73.975680
Abdu Rahiman Nagar,11.069830,75.938790
Abhaneri,27.007430,76.607600
Abhanpur,21.053090,81.740880
Abhayapuri,26.322550,90.685260
Abiramam,9.442300,78.439900
Abohar,30.144530,74.195520
Abrama,20.858650,72.906480
Abu,24.593650,72.717560
Abu Road,24.480120,72.781860
Achalpur,21.256650,77.510060
Achampet,16.398200,78.637580
Achanputtur,9.041430,77.296930
Acharapakkam,12.402790,79.816990
Acharipallam Vaniyakudi,8.174280,77.384860
Achchippatti,10.699790,77.012480
Achhibal,33.684090,75.218350
Achhnera,27.178260,77.756740
Adaikkakuzhi,8.307790,77.141100
Adalaj,23.164530,72.581070
Adampur_Haryana,29.280260,75.468180
Adampur_Punjab,31.432240,75.714840
Adanattutekkumuri Kizhakku,9.079090,76.513670
Adatt,10.544040,76.142300
Adbhar,21.953450,83.024750
Addanki,15.810610,79.973380
Adde Vishwanathapura,13.205840,77.547250
Adduru,12.920490,74.956560
Adh,28.867230,77.792400
Adha Chat,27.906550,80.763220
Adichanallur,8.880490,76.715580
Adigaratti,11.334420,76.697050
Adilabad,19.672030,78.535900
Adirampattinam,10.340590,79.379050
Adityapatna,13.268910,76.714900
Adiyanuthu,10.330750,77.981180
Adoni,15.627880,77.274950
Adra,23.496680,86.683630
Adri,20.965910,70.288570
Adur,9.155950,76.731920
Aduthurai,11.015420,79.480930
Adyar,12.870330,74.922570
Afzalgarh,29.393700,78.673930
Afzalpur,17.199860,76.360180
Agar,23.711770,76.015710
Agaram_Tamil_Nadu,10.443250,77.948480
Agartala,23.836050,91.279390
Agastinuagan,19.370030,85.034280
Agastiswaram,8.099640,77.521530
Agatti,10.835220,72.182170
Agra,27.183330,78.016670
Agrahara Samakkulam,11.152790,77.011040
Ahilyanagar,19.094570,74.738430
Ahiri,19.413860,80.003590
Ahirkheri,22.680000,75.804820
Ahiwara,21.357990,81.417940
Ahmadabad Cantonment,23.047680,72.609870
Ahmadpur_Maharashtra,18.706220,76.937310
Ahmadpur_West_Bengal,23.830090,87.686610
Ahmedabad,23.025790,72.587270
Ahmedgarh,30.677310,75.826330
Ahor,25.368700,72.780380
Ahraura,25.015790,83.032940
Ahwa,20.757180,73.686260
Air Khas,25.932370,79.514560
Airavadanallur,9.905750,78.155210
Airoli,19.150960,72.996250
Aish Maqam,33.865030,75.283690
Aistala,23.180000,88.580000
Aizawl,23.728940,92.717910
Ajaigarh,24.898790,80.259210
Ajani Khurd,18.619900,76.941250
Ajanur,12.336140,75.092970
Ajara,16.116010,74.210970
Ajeetgarh,27.419330,75.821430
Ajjampur,13.727940,76.006800
Ajmer,26.452100,74.638670
Ajnala,31.844730,74.762950
Akaira,28.231030,76.850810
Akalgarh_Punjab,30.759510,75.645650
Akalkot,17.525320,76.206110
Akalkuva,21.554300,74.019220
Akaltara,22.024630,82.426410
Akasahebpet,17.504550,82.565970
Akathiyur,10.680880,76.094190
Akbarpur_Uttar_Pradesh,26.429530,82.534310
Akdoni Khurd,24.157890,86.279670
Akera,27.012080,75.808840
Akhnur,32.895500,74.734860
Akividu,16.582250,81.381120
Akkarampalle,13.650000,79.420000
Aklera,24.412880,76.567190
Akluj,17.892410,75.021380
Akoda,26.533380,78.903640
Akodia,23.380270,76.598750
Akola,20.709570,76.998100
Akot,21.096300,77.058800
Ala,10.253530,76.185680
Alagappapuram,8.146780,77.541310
Alagapuram,11.887050,78.917580
