# Extended metadata for cities.csv (not used by C++ parser)
# Source: GeoNames cities1000 India subset (CC BY 4.0)
city,geoname_id,admin1_code,state,population,latitude,longitude
4 Arm (Kharwali),13645543,24,Rajasthan,2139,28.748700,73.067030
7LC,12503657,24,Rajasthan,1400,29.403030,73.602560
Aamadi,13156943,37,Chhattisgarh,6600,20.770970,81.489910
Aar,13546251,24,Rajasthan,1007,24.507740,73.576870
Abbaspur,12524521,12,Jammu and Kashmir,10208,33.817400,73.975680
Abdu Rahiman Nagar,13353572,13,Kerala,41993,11.069830,75.938790
Abhaneri,6698412,24,Rajasthan,1424,27.007430,76.607600
Abhanpur,1279409,37,Chhattisgarh,14432,21.053090,81.740880
Abhayapuri,1279407,03,Assam,15847,26.322550,90.685260
Abiramam,1279405,25,Tamil Nadu,8144,9.442300,78.439900
Abohar,1279403,23,Punjab,145302,30.144530,74.195520
Abrama,11102685,09,Gujarat,21000,20.858650,72.906480
Abu,1279396,24,Rajasthan,24981,24.593650,72.717560
Abu Road,1279394,24,Rajasthan,55599,24.480120,72.781860
Achalpur,1279390,16,Maharashtra,112311,21.256650,77.510060
Achampet,10525684,40,Telangana,20721,16.398200,78.637580
Achanputtur,11680722,25,Tamil Nadu,13566,9.041430,77.296930
Acharapakkam,1279385,25,Tamil Nadu,10362,12.402790,79.816990
Acharipallam Vaniyakudi,11655782,25,Tamil Nadu,16822,8.174280,77.384860
Achchippatti,11563086,25,Tamil Nadu,9849,10.699790,77.012480
Achhibal,1279383,12,Jammu and Kashmir,17556,33.684090,75.218350
Achhnera,1279382,36,Uttar Pradesh,20532,27.178260,77.756740
Adaikkakuzhi,13494660,25,Tamil Nadu,8888,8.307790,77.141100
Adalaj,1279373,09,Gujarat,11957,23.164530,72.581070
Adampur_Haryana,7646705,10,Haryana,25531,29.280260,75.468180
Adampur_Punjab,1462733,23,Punjab,20922,31.432240,75.714840
Adanattutekkumuri Kizhakku,11501709,13,Kerala,22250,9.079090,76.513670
Adatt,11463005,13,Kerala,5721,10.544040,76.142300
Adbhar,1279357,37,Chhattisgarh,7272,21.953450,83.024750
Addanki,1279356,02,Andhra Pradesh,28547,15.810610,79.973380
Adde Vishwanathapura,10854422,19,Karnataka,1762,13.205840,77.547250
Adduru,10846455,19,Karnataka,5426,12.920490,74.956560
Adh,10371470,36,Uttar Pradesh,3215,28.867230,77.792400
Adha Chat,10710563,36,Uttar Pradesh,1480,27.906550,80.763220
Adichanallur,11502176,13,Kerala,27240,8.880490,76.715580
Adigaratti,11460609,25,Tamil Nadu,14178,11.334420,76.697050
Adilabad,1279344,40,Telangana,118526,19.672030,78.535900
Adirampattinam,1278204,25,Tamil Nadu,31066,10.340590,79.379050
Adityapatna,13353443,19,Karnataka,2623,13.268910,76.714900
